to_read,group
de,Nivel 1
la,Nivel 1
que,Nivel 1
el,Nivel 1
en,Nivel 1
los,Nivel 1
se,Nivel 1
del,Nivel 1
las,Nivel 1
un,Nivel 1
por,Nivel 1
con,Nivel 1
no,Nivel 1
una,Nivel 1
su,Nivel 1
para,Nivel 1
es,Nivel 1
al,Nivel 1
lo,Nivel 1
como,Nivel 1
más,Nivel 1
pero,Nivel 1
sus,Nivel 1
le,Nivel 1
ha,Nivel 1
me,Nivel 1
si,Nivel 1
sin,Nivel 1
sobre,Nivel 1
este,Nivel 1
ya,Nivel 1
entre,Nivel 1
cuando,Nivel 1
todo,Nivel 1
esta,Nivel 1
ser,Nivel 1
son,Nivel 1
dos,Nivel 1
también,Nivel 1
fue,Nivel 1
había,Nivel 1
era,Nivel 1
muy,Nivel 1
años,Nivel 1
hasta,Nivel 1
desde,Nivel 1
está,Nivel 1
mi,Nivel 1
porque,Nivel 1
qué,Nivel 1
sólo,Nivel 1
han,Nivel 1
yo,Nivel 1
hay,Nivel 1
vez,Nivel 1
puede,Nivel 1
todos,Nivel 1
así,Nivel 1
nos,Nivel 1
ni,Nivel 1
parte,Nivel 1
tiene,Nivel 1
él,Nivel 1
uno,Nivel 1
donde,Nivel 1
bien,Nivel 1
tiempo,Nivel 1
mismo,Nivel 1
ese,Nivel 1
ahora,Nivel 1
cada,Nivel 1
vida,Nivel 1
otro,Nivel 1
después,Nivel 1
te,Nivel 1
otros,Nivel 1
aunque,Nivel 1
esa,Nivel 1
eso,Nivel 1
hace,Nivel 1
otra,Nivel 1
gobierno,Nivel 1
tan,Nivel 1
durante,Nivel 1
siempre,Nivel 1
día,Nivel 1
tanto,Nivel 1
ella,Nivel 1
tres,Nivel 1
sí,Nivel 1
dijo,Nivel 1
sido,Nivel 1
gran,Nivel 1
país,Nivel 1
según,Nivel 1
menos,Nivel 1
mundo,Nivel 2
año,Nivel 2
antes,Nivel 2
estado,Nivel 2
contra,Nivel 2
sino,Nivel 2
forma,Nivel 2
caso,Nivel 2
nada,Nivel 2
hacer,Nivel 2
general,Nivel 2
estaba,Nivel 2
poco,Nivel 2
estos,Nivel 2
presidente,Nivel 2
mayor,Nivel 2
ante,Nivel 2
unos,Nivel 2
les,Nivel 2
algo,Nivel 2
hacia,Nivel 2
casa,Nivel 2
ellos,Nivel 2
ayer,Nivel 2
hecho,Nivel 2
primera,Nivel 2
mucho,Nivel 2
mientras,Nivel 2
además,Nivel 2
quien,Nivel 2
momento,Nivel 2
millones,Nivel 2
esto,Nivel 2
españa,Nivel 2
hombre,Nivel 2
están,Nivel 2
pues,Nivel 2
hoy,Nivel 2
lugar,Nivel 2
madrid,Nivel 2
nacional,Nivel 2
trabajo,Nivel 2
otras,Nivel 2
mejor,Nivel 2
nuevo,Nivel 2
decir,Nivel 2
algunos,Nivel 2
entonces,Nivel 2
todas,Nivel 2
días,Nivel 2
debe,Nivel 2
política,Nivel 2
cómo,Nivel 2
casi,Nivel 2
toda,Nivel 2
tal,Nivel 2
luego,Nivel 2
pasado,Nivel 2
primer,Nivel 2
medio,Nivel 2
va,Nivel 2
estas,Nivel 2
sea,Nivel 2
tenía,Nivel 2
nunca,Nivel 2
poder,Nivel 2
aquí,Nivel 2
ver,Nivel 2
veces,Nivel 2
embargo,Nivel 2
partido,Nivel 2
personas,Nivel 2
grupo,Nivel 2
cuenta,Nivel 2
pueden,Nivel 2
tienen,Nivel 2
misma,Nivel 2
nueva,Nivel 2
cual,Nivel 2
fueron,Nivel 2
mujer,Nivel 2
frente,Nivel 2
josé,Nivel 2
tras,Nivel 2
cosas,Nivel 2
fin,Nivel 2
ciudad,Nivel 2
he,Nivel 2
social,Nivel 2
manera,Nivel 2
tener,Nivel 2
sistema,Nivel 2
será,Nivel 2
historia,Nivel 2
muchos,Nivel 2
juan,Nivel 2
tipo,Nivel 2
cuatro,Nivel 2
dentro,Nivel 2
nuestro,Nivel 2
punto,Nivel 2
dice,Nivel 2
ello,Nivel 2
cualquier,Nivel 2
noche,Nivel 2
aún,Nivel 2
agua,Nivel 2
parece,Nivel 2
haber,Nivel 2
situación,Nivel 2
fuera,Nivel 2
bajo,Nivel 2
grandes,Nivel 2
nuestra,Nivel 2
ejemplo,Nivel 2
acuerdo,Nivel 2
habían,Nivel 2
usted,Nivel 2
estados,Nivel 2
hizo,Nivel 2
nadie,Nivel 2
países,Nivel 2
horas,Nivel 2
posible,Nivel 2
tarde,Nivel 2
ley,Nivel 2
importante,Nivel 2
guerra,Nivel 2
desarrollo,Nivel 2
proceso,Nivel 2
realidad,Nivel 2
sentido,Nivel 2
lado,Nivel 2
mí,Nivel 2
tu,Nivel 2
cambio,Nivel 2
allí,Nivel 2
mano,Nivel 2
eran,Nivel 2
estar,Nivel 2
san,Nivel 2
número,Nivel 2
sociedad,Nivel 2
unas,Nivel 2
centro,Nivel 2
padre,Nivel 2
gente,Nivel 2
final,Nivel 2
relación,Nivel 2
cuerpo,Nivel 2
obra,Nivel 2
incluso,Nivel 2
través,Nivel 2
último,Nivel 2
madre,Nivel 2
mis,Nivel 2
modo,Nivel 2
problemas,Nivel 2
cinco,Nivel 2
carlos,Nivel 2
hombres,Nivel 2
información,Nivel 2
ojos,Nivel 2
muerte,Nivel 2
nombre,Nivel 2
algunas,Nivel 2
público,Nivel 2
mujeres,Nivel 2
siglo,Nivel 2
todavía,Nivel 2
meses,Nivel 2
mañana,Nivel 2
esos,Nivel 2
nosotros,Nivel 2
hora,Nivel 2
muchas,Nivel 2
pueblo,Nivel 2
alguna,Nivel 2
dar,Nivel 2
problema,Nivel 2
don,Nivel 2
da,Nivel 2
tú,Nivel 2
derecho,Nivel 2
verdad,Nivel 2
maría,Nivel 2
unidos,Nivel 2
podría,Nivel 2
sería,Nivel 2
junto,Nivel 2
cabeza,Nivel 2
aquel,Nivel 2
