to_read,group
nunca te rindas. a veces la última llave es la que abre la puerta,1
"lo importante no es lo que se promete, sino lo que se cumple",2
"si dejas salir todos tus miedos, tendrás más espacio para vivir todos tus sueños",3
enfócate en lo que quieras y verás llegar las oportunidades,4
las cosas buenas llegan a los que saben esperar,5
el camino al éxito es la actitud,6
la confianza en sí mismo es el primer secreto del éxito,7
lo único imposible es aquello que no intentas,8
dale a cada día la oportunidad de ser el mejor día de tu vida,9
"tal vez no sea fácil, pero merecerá la pena",10
"si el plan no funciona, cambia el plan, pero no cambies la meta",11
solo el que ensaya lo absurdo es capaz de conquistar lo imposible,12
"mientras más fuertes sean tus pruebas, más grandes serán tus victorias",13
"quizás aún no llegué a mi meta, pero hoy estoy más cerca que ayer",14
"no sufras por tu pasado, ni te preocupes por tu futuro. sólo disfruta el presente",15
"no te ahogarás por caerte al mar, sino por no salir de él",16
"no te rindas nunca, porque nunca sabes si el próximo intento será el que funcionará",17
"lo que hoy parece un huracán en tu vida, mañana lo verás como una ráfaga de viento que intentaba abrirte un camino",18
trabajar duro por algo que no nos interesa se llama estrés. trabajar duro por algo que amamos se llama pasión,19
el hombre nunca sabe de lo que es capaz hasta que lo intenta,20
"la vida te pondrá obstáculos, pero los límites los pones tú",21
la vida es similar a un rompecabezas. cada pieza tiene un lugar y un porqué. no insistas en colocar piezas donde no caben,22
caerse mil veces y levantarse otras mil. en eso consiste la vida,23
"si la oportunidad no llama, construye una puerta",24
"si te cansas, aprender a descansar, no a renunciar",25
"el éxito es la suma de pequeños esfuerzos, repetidos día tras día",26
"las palabras convencen, el ejemplo arrastra",27
todo lo que necesitas para ser feliz se encuentra al otro lado del miedo,28
"en la vida encontrarás tormentas, pero tarde o temprano saldrá el sol",29
"todo error deja una enseñanza, toda enseñanza deja una experiencia y toda experiencia deja una huella",30
"el fracaso, amigo mío, existe solo cuando te rindes",31
"la gente positiva es la que se cae, se levanta, se sacude, se cura los raspones, le sonríe a la vida y dice: ¡ahí voy de nuevo!",32
"si la montaña que subes parece cada vez más imponente, es que la cima está cada vez más cerca",33
no tenemos que derrumbar nuestros sueños. tenemos que derrumbar las barreras que nos impiden cumplirlos,34
"el éxito en la vida no se mide por los logros, sino por los obstáculos que superas",35
"si te cuesta avanzar, vas por el buen camino",36
la disciplina es el puente entre las metas y los logros,37
"dos grandes verdades que en ocasiones necesitas recordártelas, sobre todo cuando te desanimas: puedes más de lo que te imaginas y vales más de lo que piensas",38
"no te conformes con lo que necesitas, lucha por lo que te mereces",39
la motivación es la gasolina del cerebro,40
el éxito más grande de todos es la aceptación de uno mismo,41
la única lucha que se pierde es la que se abandona,42
más allá del miedo está la libertad,43
ningún mar en calma hizo experto a un marinero,44
todo merece la pena si te hacer sonreír,45
"de todas las cosas que llevas puestas, la actitud es lo más importante",46
el pesimista ve el vaso medio vacío: el optimista ve el vaso medio lleno; el emprendedor va a buscar más agua,47
para poder impulsarse a veces hay que dar un paso atrás,48
"la felicidad no depende de lo que uno tiene, sino del uso que hace de todo lo que tiene.",49
"12 frases que dicen los niños de buenos padres. después de los miedos del embarazo, llegan las dudas sobre si estamos educando bien a nuestros hijos. ¿cómo saberlo? si tu hijo dice estas 12 frases, lo estáis haciendo bien como padres, ¡no tengas la menor duda! ¿a qué frases nos referimos? ¡toma muy buena nota!",50
"11 frases con valores de santa teresa. la obra de santa teresa de jesús aún es desconocida para muchos padres, pero no debería de ser así. a través de sus escritos, santa teresa de jesús nos puede ayudar a educar en valores a los niños. estas son las 21 frases de santa teresa para educar en valores a los niños.",51
"6 frases que dan mucha fuerza y poder a los niños. estas son algunas frases que empoderan a los niños y que los padres debemos incorporar a nuestro lenguaje. debemos ser conscientes de la importancia que el lenguaje tiene en nuestros hijos, de ahí la importancia de que tengamos que cuidar la forma en la que les hablamos.",52
"9 frases inspiradoras de maría montessori. hemos recopilado algunas de las frases de maría montessori que sirven para sustentar el método montessori, una forma de educación muy popular en distintos países del mundo. los padres las encontrarán muy inspiradoras a la hora de elegir el método educativo para sus hijos.",53
22 frases positivas del deporte. descubre una gran cantidad de frases positivas que el deporte transmite a los niños. frases inspiradoras que puedes utilizar gracias al deporte con tus hijos. los grandes beneficios emocionales y de aprendizaje del deporte para los niños. 22 frases positivas que el deporte transmite a tu hijo.,54
