group,to_read
m,ma
m,me
m,mi
m,mo
m,mu
s,sa
s,se
s,si
s,so
s,su
t,ta
t,te
t,ti
t,to
t,tu
l,la
l,le
l,li
l,lo
l,lu
r,ra
r,re
r,ri
r,ro
r,ru
p,pa
p,pe
p,pi
p,po
p,pu
n,na
n,ne
n,ni
n,no
n,nu
c,ca
c,ce
c,ci
c,co
c,cu
d,da
d,de
d,di
d,do
d,du
v,va
v,ve
v,vi
v,vo
v,vu
f,fa
f,fe
f,fi
f,fo
f,fu
b,ba
b,be
b,bi
b,bo
b,bu
f,fa
f,fe
f,fi
f,fo
f,fu
ñ,ña
ñ,ñe
ñ,ñi
ñ,ño
ñ,ñu
g,ga
g,ge
g,gi
g,go
g,gu
h,ha
h,he
h,hi
h,ho
h,hu
ch,cha
ch,che
ch,chi
ch,cho
ch,chu
ll,lla
ll,lle
ll,lli
ll,llo
ll,llu
y,ya
y,ye
y,yi
y,yo
y,yu
z,za
z,ze
z,zi
z,zo
z,zu
x,xa
x,xe
x,xi
x,xo
x,xu
tr,tra
tr,tre
tr,tri
tr,tro
tr,tru
gr,gra
gr,gre
gr,gri
gr,gro
gr,gru
pt,pta
pt,pte
pt,pti
pt,pto
pt,ptu
dr,dra
dr,dre
dr,dri
dr,dro
dr,dru
fr,fra
fr,fre
fr,fri
fr,fro
fr,fru
cl,cla
cl,cle
cl,cli
cl,clo
cl,clu
fl,fla
fl,fle
fl,fli
fl,flo
fl,flu
gl,gla
gl,gle
gl,gli
gl,glo
gl,glu
pl,pla
pl,ple
pl,pli
pl,plo
pl,plu
br,bra
br,bre
br,bri
br,bro
br,bru
cr,cra
cr,cre
cr,cri
cr,cro
cr,cru
gu,gue
gu,gui
qu,que
qu,qui
gü,güe
gü,güi
